Date,Home Team,Road Team
8/20/23,Inter Miami CF,Charlotte FC
8/20/23,Columbus Crew,FC Cincinnati
8/20/23,Philadelphia Union,FC Dallas
8/20/23,Toronto FC,CF Montreal
8/20/23,New York City,Minnesota United
8/20/23,New York Red Bulls,DC United
8/20/23,Nashville SC,New England Revolution
8/20/23,Houston Dynamo,Portland Timbers
8/20/23,Chicago Fire,Orlando City
8/20/23,St. Louis City,Austin FC
8/20/23,Seattle Sounders,Atlanta United
8/20/23,LAFC,Colorado Rapids
8/20/23,LA Galaxy,Real Salt Lake
8/20/23,Vancouver Whitecaps,San Jose Earthquakes
8/26/23,Atlanta United,Nashville SC
8/26/23,DC United,Philadelphia Union
8/26/23,CF Montreal,New England Revolution
8/26/23,Charlotte FC,LAFC
8/26/23,New York Red Bulls,Inter Miami CF
8/26/23,FC Cincinnati,New York City
8/26/23,Orlando City,St. Louis City
8/26/23,Columbus Crew,Toronto FC
8/26/23,FC Dallas,Austin FC
8/26/23,Sporting KC,San Jose Earthquakes
8/26/23,Real Salt Lake,Houston Dynamo
8/26/23,Portland Timbers,Vancouver Whitecaps
8/26/23,LA Galaxy,Chicago Fire
8/27/23,Minnesota United,Seattle Sounders
8/30/23,New York City,CF Montreal
8/30/23,Inter Miami CF,Nashville SC
8/30/23,Toronto FC,Philadelphia Union
8/30/23,Atlanta United,FC Cincinnati
8/30/23,New England Revolution,New York Red Bulls
8/30/23,Charlotte FC,Orlando City
8/30/23,Houston Dynamo,Columbus Crew
8/30/23,St. Louis City,FC Dallas
8/30/23,Chicago Fire,Vancouver Whitecaps
8/30/23,Minnesota United,Colorado Rapids
8/30/23,Austin FC,Seattle Sounders
8/30/23,San Jose Earthquakes,LA Galaxy
8/30/23,Portland Timbers,Real Salt Lake
9/2/23,New York City,Vancouver Whitecaps
9/2/23,DC United,Chicago Fire
9/2/23,CF Montreal,Columbus Crew
9/2/23,FC Cincinnati,Orlando City
9/2/23,Sporting KC,St. Louis City
9/2/23,Nashville SC,Charlotte FC
9/2/23,FC Dallas,Atlanta United
9/2/23,Real Salt Lake,Colorado Rapids
9/2/23,LA Galaxy,Houston Dynamo
9/2/23,Seattle Sounders,Portland Timbers
9/2/23,San Jose Earthquakes,Minnesota United
9/3/23,Philadelphia Union,New York Red Bulls
9/3/23,LAFC,Inter Miami CF
9/9/23,DC United,San Jose Earthquakes
9/9/23,Inter Miami CF,Sporting KC
9/9/23,Minnesota United,New England Revolution
9/9/23,Portland Timbers,LAFC
9/10/23,LA Galaxy,St. Louis City
9/16/23,New York City,New York Red Bulls
9/16/23,Charlotte FC,DC United
9/16/23,Atlanta United,Inter Miami CF
9/16/23,Toronto FC,Vancouver Whitecaps
9/16/23,Philadelphia Union,FC Cincinnati
9/16/23,Orlando City,Columbus Crew
9/16/23,CF Montreal,Chicago Fire
9/16/23,Houston Dynamo,St. Louis City
9/16/23,Minnesota United,Sporting KC
9/16/23,FC Dallas,Seattle Sounders
9/16/23,Colorado Rapids,New England Revolution
9/16/23,LAFC,LA Galaxy
9/16/23,San Jose Earthquakes,Real Salt Lake
9/17/23,Austin FC,Portland Timbers
9/20/23,Charlotte FC,Philadelphia Union
9/20/23,DC United,Atlanta United
9/20/23,CF Montreal,FC Cincinnati
9/20/23,New York City,Orlando City
9/20/23,Inter Miami CF,Toronto FC
9/20/23,Columbus Crew,Chicago Fire
9/20/23,New York Red Bulls,Austin FC
9/20/23,Houston Dynamo,Vancouver Whitecaps
9/20/23,Sporting KC,Nashville SC
9/20/23,St. Louis City,LAFC
9/20/23,Real Salt Lake,FC Dallas
9/20/23,Colorado Rapids,Seattle Sounders
9/20/23,Portland Timbers,San Jose Earthquakes
9/20/23,LA Galaxy,Minnesota United
9/23/23,FC Cincinnati,Charlotte FC
9/23/23,New York City,Toronto FC
9/23/23,DC United,New York Red Bulls
9/23/23,Atlanta United,CF Montreal
9/23/23,Philadelphia Union,LAFC
9/23/23,Chicago Fire,New England Revolution
9/23/23,Minnesota United,St. Louis City
9/23/23,FC Dallas,Columbus Crew
9/23/23,Sporting KC,Houston Dynamo
9/23/23,Real Salt Lake,Vancouver Whitecaps
9/23/23,Portland Timbers,Colorado Rapids
9/23/23,San Jose Earthquakes,Nashville SC
9/24/23,Orlando City,Inter Miami CF
9/24/23,Austin FC,LA Galaxy
9/30/23,Inter Miami CF,New York City
9/30/23,Toronto FC,FC Cincinnati
9/30/23,New England Revolution,Charlotte FC
9/30/23,Orlando City,CF Montreal
9/30/23,Columbus Crew,Philadelphia Union
9/30/23,New York Red Bulls,Chicago Fire
9/30/23,Nashville SC,Seattle Sounders
9/30/23,St. Louis City,Sporting KC
9/30/23,Minnesota United,San Jose Earthquakes
9/30/23,Houston Dynamo,FC Dallas
9/30/23,Colorado Rapid,Austin FC
9/30/23,Vancouver Whitecaps,DC United
9/30/23,LA Galaxy,Portland Timbers
10/1/23,LAFC,Real Salt Lake
10/4/23,New England Revolution,Columbus Crew
10/4/23,Charlotte FC,Toronto FC
10/4/23,Philadelphia Union,Atlanta United
10/4/23,CF Montreal,Houston Dynamo
10/4/23,FC Cincinnati,New York Red Bulls
10/4/23,Chicago Fire,Inter Miami CF
10/4/23,FC Dallas,Colorado Rapids
10/4/23,Nashville SC,Orlando City
10/4/23,Austin FC,DC United
10/4/23,Seattle Sounders,LA Galaxy
10/4/23,LAFC,Minnesota United
10/4/23,Vancouver Whitecaps,St. Louis City
10/7/23,Orlando City,New England Revolution
10/7/23,CF Montreal,Portland Timbers
10/7/23,Inter Miami CF,FC Cincinnati
10/7/23,New York Red Bulls,Toronto FC
10/7/23,Atlanta United,Columbus Crew
10/7/23,Philadelphia Union,Nashville SC
10/7/23,DC United,New York City
10/7/23,FC Dallas,San Jose Earthquakes
10/7/23,Chicago Fire,Charlotte FC
10/7/23,Minnesota United,LA Galaxy
10/7/23,Austin FC,LAFC
10/7/23,Houston Dynamo,Colorado Rapids
10/7/23,Real Salt Lake,Sporting KC
10/7/23,Seattle Sounders,Vancouver Whitecaps
10/21/23,Colorado Rapids,Real Salt Lake
10/21/23,Sporting KC,Minnesota United
10/21/23,New England Revolution,Philadelphia Union
10/21/23,San Jose Earthquakes,Austin FC
10/21/23,Vancouver Whitecaps,LAFC
10/21/23,Columbus Crew,CF Montreal
10/21/23,LA Galaxy,FC Dallas
10/21/23,New York City,Chicago Fire
10/21/23,St. Louis City,Seattle Sounders
10/21/23,Toronto FC,Orlando City
10/21/23,FC Cincinnati,Atlanta United
10/21/23,Nashville SC,New York Red Bulls
10/21/23,Portland Timbers,Houston Dynamo
10/21/23,Charlotte FC,Inter Miami CF
